job_id,job_title,company,location,experience_level,job_description,date_posted
388,Power BI Developer,,Remote,entry,"Northstar Tech is hiring a Power BI Developer (Entry level) based in Remote. Required skills: Machine Learning, NLP. Prior experience with analytics platforms is a plus.",2026-06-19
3951,NLP Engineer,Nimbus Data,London,Mid,"We are looking for a NLP Engineer to join our team in London. The ideal candidate has hands-on experience with Tableau, Deep Learning, Power BI dashboards, NLP, Large Language Models. You will work closely with cross-functional teams to deliver insights.",2026-02-16
1292,Power BI Developer,Quantify Labs,Singapore,senior,"Quantify Labs is hiring a Power BI Developer (Senior level) based in Singapore. Required skills: python programming, Large Language Models, Tableau dashboards, NLP, MS Excel, PowerBI. Prior experience with analytics platforms is a plus.",2026-05-04
679,Machine Learning Engineer,Alpha Analytics,Pune,Senior,"We are looking for a Machine Learning Engineer to join our team in Pune. The ideal candidate has hands-on experience with Natural Language Processing, ML models, Tableau dashboards, AWS. You will work closely with cross-functional teams to deliver insights.",2026-02-25
3370,NLP Engineer,Alpha Analytics,Remote,Lead,"Alpha Analytics is hiring a NLP Engineer (Lead level) based in Remote. Required skills: Python, MS Excel. Prior experience with analytics platforms is a plus.",2026-04-17
4568,Data Analyst,Vertex Insights,Pune,mid,"Data Analyst role open at Vertex Insights. Key requirements include ML models, Natural Language Processing, Power BI dashboards. This is a Mid level position, Pune based.",2026-05-22
3733,Data Analyst,Clarity Systems,new york,Mid,"We are looking for a Data Analyst to join our team in New York. The ideal candidate has hands-on experience with Amazon Web Services, python programming, Excel, machine-learning. You will work closely with cross-functional teams to deliver insights.",2026-03-04
3881,AI Engineer,BrightPath AI,Bengaluru,MID,"AI Engineer role open at BrightPath AI. Key requirements include MS Excel, machine-learning, Power BI, deep neural networks. This is a Mid level position, Bengaluru based.",2026-03-22
922,Data Engineer,Quantify Labs,Delhi NCR,Mid,"We are looking for a Data Engineer to join our team in Delhi NCR. The ideal candidate has hands-on experience with MS Excel, PowerBI, Python, SQL queries, Machine Learning. You will work closely with cross-functional teams to deliver insights.",2026-06-03
79,BI Developer,DataForge,Singapore,Lead,"Exciting opportunity for a BI Developer at DataForge, Singapore. Must have strong knowledge of Machine Learning, GenAI, PowerBI, Amazon Web Services and a passion for solving business problems.",2026-01-19
2353,Business Intelligence Analyst,Northstar Tech,London,Lead,"We are looking for a Business Intelligence Analyst to join our team in London. The ideal candidate has hands-on experience with SQL, Deep Learning. You will work closely with cross-functional teams to deliver insights.",2026-07-08
1926,NLP Engineer,Vertex Insights,  Pune  ,Mid,"Join Vertex Insights as a NLP Engineer! We need someone comfortable with SQL queries, Amazon Web Services, proficiency in Python to help us build data-driven products.",2026-02-27
743,Data Analyst,DataForge,Chennai,Lead,"We are looking for a Data Analyst to join our team in Chennai. The ideal candidate has hands-on experience with Natural Language Processing, Excel, Tableau, Power BI, Amazon Web Services. You will work closely with cross-functional teams to deliver insights.",2026-02-22
2339,Machine Learning Engineer,Clarity Systems,Singapore,Senior,"We are looking for a Machine Learning Engineer to join our team in Singapore. The ideal candidate has hands-on experience with Tableau, NLP, GenAI. You will work closely with cross-functional teams to deliver insights.",2026-06-22
2433,BI Developer,Alpha Analytics,,Senior,"Join Alpha Analytics as a BI Developer! We need someone comfortable with deep neural networks, Tableau, proficiency in Python to help us build data-driven products.",2026-01-22
4634,NLP Engineer,Nimbus Data,Chennai,Senior,"Join Nimbus Data as a NLP Engineer! We need someone comfortable with machine-learning, Power BI dashboards, advanced SQL to help us build data-driven products.",2026-06-26
2403,BI Developer,BrightPath AI,Remote,Entry,"We are looking for a BI Developer to join our team in Remote. The ideal candidate has hands-on experience with Tableau, GenAI, Power BI dashboards, proficiency in Python. You will work closely with cross-functional teams to deliver insights.",2026-06-15
3650,Data Analyst,DataForge,Hyderabad,  Mid  ,"Join DataForge as a Data Analyst! We need someone comfortable with python programming, Natural Language Processing, deep neural networks, Power BI dashboards to help us build data-driven products.",2026-06-03
1263,Machine Learning Engineer,,bengaluru,Lead,"Join Vertex Insights as a Machine Learning Engineer! We need someone comfortable with Machine Learning, MS Excel to help us build data-driven products.",2026-03-19
4192,Data Engineer,Alpha Analytics,LONDON,  Entry  ,"Join Alpha Analytics as a Data Engineer! We need someone comfortable with T-SQL, Python, Amazon Web Services, Excel, GenAI, Power BI to help us build data-driven products.",2026-07-18
3676,Data Scientist,DataForge,Delhi NCR,Mid,"We are looking for a Data Scientist to join our team in Delhi NCR. The ideal candidate has hands-on experience with Power BI dashboards, python programming. You will work closely with cross-functional teams to deliver insights.",2026-02-25
3510,Data Analyst,Skyline Solutions,singapore,LEAD,"Data Analyst role open at Skyline Solutions. Key requirements include machine-learning, Advanced Excel, Natural Language Processing, PowerBI. This is a Lead level position, Singapore based.",2026-01-17
3231,Analytics Consultant,BrightPath AI,LONDON,Lead,"Analytics Consultant role open at BrightPath AI. Key requirements include PowerBI, NLP, ML models, Amazon Web Services. This is a Lead level position, London based.",2026-06-21
2594,Power BI Developer,Skyline Solutions,Bengaluru,SENIOR,"Skyline Solutions is hiring a Power BI Developer (Senior level) based in Bengaluru. Required skills: Generative AI, Excel, python programming, Machine Learning, SQL, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-05-03
1079,Data Engineer,DataForge,Hyderabad,  Entry  ,"DataForge is hiring a Data Engineer (Entry level) based in Hyderabad. Required skills: Tableau dashboards, SQL, PowerBI, proficiency in Python. Prior experience with analytics platforms is a plus.",2026-06-18
4919,NLP Engineer,Quantify Labs,Hyderabad,Senior,"NLP Engineer role open at Quantify Labs. Key requirements include T-SQL, Python. This is a Senior level position, Hyderabad based.",2026-06-25
1063,Data Scientist,BluePeak Consulting,SINGAPORE,SENIOR,"Exciting opportunity for a Data Scientist at BluePeak Consulting, Singapore. Must have strong knowledge of GenAI, Natural Language Processing, Advanced Excel and a passion for solving business problems.",2026-04-19
4971,Machine Learning Engineer,Northstar Tech,New York,senior,"Machine Learning Engineer role open at Northstar Tech. Key requirements include NLP, Amazon Web Services, advanced SQL. This is a Senior level position, New York based.",2026-05-09
4138,Data Science Manager,BrightPath AI,New York,Lead,"Join BrightPath AI as a Data Science Manager! We need someone comfortable with Python, ML models, Power BI dashboards, LLMs, Natural Language Processing to help us build data-driven products.",2026-03-04
677,Data Engineer,Alpha Analytics,Delhi NCR,Senior,"Data Engineer role open at Alpha Analytics. Key requirements include SQL, MS Excel, Power BI, proficiency in Python, Tableau, NLP. This is a Senior level position, Delhi NCR based.",2026-07-12
986,Data Engineer,Nimbus Data,london,,"Join Nimbus Data as a Data Engineer! We need someone comfortable with deep neural networks, machine-learning, SQL queries to help us build data-driven products.",2026-01-15
738,Business Intelligence Analyst,Clarity Systems,chennai,Mid,"Join Clarity Systems as a Business Intelligence Analyst! We need someone comfortable with SQL, Tableau, python programming, Power BI, MS Excel, Natural Language Processing to help us build data-driven products.",2026-04-30
1722,AI Research Engineer,BluePeak Consulting,LONDON,LEAD,"We are looking for a AI Research Engineer to join our team in London. The ideal candidate has hands-on experience with MS Excel, Power BI, python programming, deep neural networks, machine-learning. You will work closely with cross-functional teams to deliver insights.",2026-04-14
2583,Machine Learning Engineer,,Remote,senior,"Join Alpha Analytics as a Machine Learning Engineer! We need someone comfortable with machine-learning, proficiency in Python to help us build data-driven products.",2026-05-06
2351,Machine Learning Engineer,Alpha Analytics,LONDON,entry,"We are looking for a Machine Learning Engineer to join our team in London. The ideal candidate has hands-on experience with Excel, Power BI, AWS, proficiency in Python, Machine Learning, T-SQL. You will work closely with cross-functional teams to deliver insights.",2026-06-12
3686,Business Intelligence Analyst,BrightPath AI,HYDERABAD,Lead,"Business Intelligence Analyst role open at BrightPath AI. Key requirements include machine-learning, Deep Learning, Amazon Web Services. This is a Lead level position, Hyderabad based.",2026-02-25
3666,Data Engineer,Skyline Solutions,Chennai,mid,"Join Skyline Solutions as a Data Engineer! We need someone comfortable with machine-learning, Python, MS Excel, Power BI to help us build data-driven products.",2026-06-15
1875,Data Analyst,Alpha Analytics,Bengaluru,,"Data Analyst role open at Alpha Analytics. Key requirements include ML models, Tableau dashboards, Python, SQL, Generative AI. This is a Lead level position, Bengaluru based.",2026-06-11
3458,Data Analyst,,New York,Entry,"Exciting opportunity for a Data Analyst at Quantify Labs, New York. Must have strong knowledge of Tableau dashboards, Amazon Web Services, PowerBI, python programming, NLP and a passion for solving business problems.",2026-01-22
3952,BI Developer,Clarity Systems,  Hyderabad  ,Mid,"Join Clarity Systems as a BI Developer! We need someone comfortable with python programming, SQL to help us build data-driven products.",2026-03-21
3355,Data Analyst,BrightPath AI,london,Lead,"Data Analyst role open at BrightPath AI. Key requirements include Python, Power BI dashboards. This is a Lead level position, London based.",2026-01-12
1128,Data Engineer,BluePeak Consulting,MUMBAI,Mid,"BluePeak Consulting is hiring a Data Engineer (Mid level) based in Mumbai. Required skills: Python, MS Excel, PowerBI, T-SQL. Prior experience with analytics platforms is a plus.",2026-06-13
276,Data Analyst,DataForge,Delhi NCR,  Senior  ,"DataForge is hiring a Data Analyst (Senior level) based in Delhi NCR. Required skills: Advanced Excel, Machine Learning. Prior experience with analytics platforms is a plus.",2026-02-23
3724,AI Research Engineer,Nimbus Data,HYDERABAD,Mid,"Join Nimbus Data as a AI Research Engineer! We need someone comfortable with SQL queries, machine-learning to help us build data-driven products.",2026-05-11
2729,AI Engineer,Nimbus Data,hyderabad,senior,"Exciting opportunity for a AI Engineer at Nimbus Data, Hyderabad. Must have strong knowledge of Large Language Models, deep neural networks, python programming and a passion for solving business problems.",2026-04-07
2950,NLP Engineer,Vertex Insights,bengaluru,LEAD,"Exciting opportunity for a NLP Engineer at Vertex Insights, Bengaluru. Must have strong knowledge of PowerBI, Tableau dashboards, Amazon Web Services, SQL, Machine Learning and a passion for solving business problems.",2026-03-13
1147,Power BI Developer,BrightPath AI,London,senior,"Power BI Developer role open at BrightPath AI. Key requirements include Generative AI, SQL, PowerBI, Amazon Web Services. This is a Senior level position, London based.",2026-05-05
1375,Analytics Consultant,DataForge,Remote,Mid,"Join DataForge as a Analytics Consultant! We need someone comfortable with Excel, T-SQL, Tableau dashboards, Natural Language Processing, LLMs to help us build data-driven products.",2026-04-21
4995,AI Engineer,Clarity Systems,Mumbai,Entry,"We are looking for a AI Engineer to join our team in Mumbai. The ideal candidate has hands-on experience with PowerBI, SQL. You will work closely with cross-functional teams to deliver insights.",2026-07-13
3851,Business Intelligence Analyst,Quantify Labs,Delhi NCR,Lead,"Quantify Labs is hiring a Business Intelligence Analyst (Lead level) based in Delhi NCR. Required skills: proficiency in Python, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-05-06
3034,BI Developer,BrightPath AI,Delhi NCR,mid,"Exciting opportunity for a BI Developer at BrightPath AI, Delhi NCR. Must have strong knowledge of Power BI dashboards, Python and a passion for solving business problems.",2026-02-23
1543,AI Engineer,Vertex Insights,chennai,SENIOR,"Exciting opportunity for a AI Engineer at Vertex Insights, Chennai. Must have strong knowledge of Python, advanced SQL, NLP, Deep Learning, Excel and a passion for solving business problems.",2026-04-04
767,Power BI Developer,Northstar Tech,New York,lead,"Northstar Tech is hiring a Power BI Developer (Lead level) based in New York. Required skills: Python, Tableau dashboards. Prior experience with analytics platforms is a plus.",2026-05-01
3854,Data Science Manager,Skyline Solutions,pune,Mid,"Exciting opportunity for a Data Science Manager at Skyline Solutions, Pune. Must have strong knowledge of SQL queries, Tableau dashboards and a passion for solving business problems.",2026-05-03
2600,Analytics Consultant,Alpha Analytics,  Hyderabad  ,Mid,"Analytics Consultant role open at Alpha Analytics. Key requirements include NLP, proficiency in Python, SQL queries. This is a Mid level position, Hyderabad based.",2026-03-16
1392,Data Science Manager,Northstar Tech,New York,Lead,"Northstar Tech is hiring a Data Science Manager (Lead level) based in New York. Required skills: SQL, AWS, ML models, Power BI, Tableau dashboards. Prior experience with analytics platforms is a plus.",2026-03-03
2959,Power BI Developer,Clarity Systems,Bengaluru,Mid,"Exciting opportunity for a Power BI Developer at Clarity Systems, Bengaluru. Must have strong knowledge of Machine Learning, python programming, Power BI dashboards, T-SQL, Tableau, Large Language Models and a passion for solving business problems.",2026-04-27
3614,Data Engineer,Nimbus Data,hyderabad,Mid,"Data Engineer role open at Nimbus Data. Key requirements include machine-learning, SQL queries. This is a Mid level position, Hyderabad based.",2026-01-18
3618,Analytics Consultant,Quantify Labs,Pune,Mid,"Exciting opportunity for a Analytics Consultant at Quantify Labs, Pune. Must have strong knowledge of Power BI, ML models, Natural Language Processing, proficiency in Python and a passion for solving business problems.",2026-01-11
343,Power BI Developer,BluePeak Consulting,New York,mid,"BluePeak Consulting is hiring a Power BI Developer (Mid level) based in New York. Required skills: Deep Learning, advanced SQL. Prior experience with analytics platforms is a plus.",2026-06-13
1321,Analytics Consultant,Quantify Labs,CHENNAI,Entry,"Analytics Consultant role open at Quantify Labs. Key requirements include Power BI dashboards, LLMs, python programming. This is a Entry level position, Chennai based.",2026-07-19
150,NLP Engineer,BrightPath AI,Delhi NCR,Lead,"Join BrightPath AI as a NLP Engineer! We need someone comfortable with Advanced Excel, T-SQL, Natural Language Processing to help us build data-driven products.",2026-07-19
4712,AI Engineer,Vertex Insights,Hyderabad,Mid,"Join Vertex Insights as a AI Engineer! We need someone comfortable with Tableau, T-SQL, Excel, Deep Learning, Natural Language Processing, Power BI dashboards to help us build data-driven products.",2026-07-16
3682,Business Intelligence Analyst,Alpha Analytics,delhi ncr,Entry,"We are looking for a Business Intelligence Analyst to join our team in Delhi NCR. The ideal candidate has hands-on experience with machine-learning, Large Language Models, Advanced Excel, deep neural networks. You will work closely with cross-functional teams to deliver insights.",2026-01-21
4030,BI Developer,BluePeak Consulting,Delhi NCR,Senior,"We are looking for a BI Developer to join our team in Delhi NCR. The ideal candidate has hands-on experience with proficiency in Python, AWS, Natural Language Processing, deep neural networks, Machine Learning, Excel. You will work closely with cross-functional teams to deliver insights.",2026-07-11
3805,Data Scientist,Nimbus Data,Remote,Lead,"Exciting opportunity for a Data Scientist at Nimbus Data, Remote. Must have strong knowledge of deep neural networks, Natural Language Processing, AWS, MS Excel, advanced SQL, Power BI and a passion for solving business problems.",2026-05-07
136,BI Developer,Nimbus Data,HYDERABAD,Lead,"Join Nimbus Data as a BI Developer! We need someone comfortable with PowerBI, machine-learning, Generative AI, T-SQL, python programming, MS Excel to help us build data-driven products.",2026-02-26
2324,BI Developer,Nimbus Data,london,Lead,"Nimbus Data is hiring a BI Developer (Lead level) based in London. Required skills: Advanced Excel, ML models, python programming, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-06-23
4893,Data Analyst,Alpha Analytics,  Singapore  ,Entry,"We are looking for a Data Analyst to join our team in Singapore. The ideal candidate has hands-on experience with MS Excel, proficiency in Python, ML models. You will work closely with cross-functional teams to deliver insights.",2026-05-31
3893,Data Analyst,BluePeak Consulting,Hyderabad,LEAD,"We are looking for a Data Analyst to join our team in Hyderabad. The ideal candidate has hands-on experience with NLP, Amazon Web Services, Python, Deep Learning, Power BI dashboards. You will work closely with cross-functional teams to deliver insights.",2026-01-15
1004,BI Developer,DataForge,remote,Senior,"BI Developer role open at DataForge. Key requirements include advanced SQL, python programming, PowerBI. This is a Senior level position, Remote based.",2026-05-08
568,Data Engineer,Northstar Tech,REMOTE,entry,"Exciting opportunity for a Data Engineer at Northstar Tech, Remote. Must have strong knowledge of Power BI, python programming, Advanced Excel and a passion for solving business problems.",2026-05-02
2262,BI Developer,BluePeak Consulting,LONDON,Mid,"We are looking for a BI Developer to join our team in London. The ideal candidate has hands-on experience with SQL queries, Python. You will work closely with cross-functional teams to deliver insights.",2026-04-19
1024,Data Scientist,DataForge,bengaluru,,"Join DataForge as a Data Scientist! We need someone comfortable with Python, PowerBI, Excel, Generative AI to help us build data-driven products.",2026-05-28
4086,AI Research Engineer,Nimbus Data,London,Lead,"Exciting opportunity for a AI Research Engineer at Nimbus Data, London. Must have strong knowledge of deep neural networks, Power BI dashboards, NLP, ML models, T-SQL and a passion for solving business problems.",2026-07-10
1758,AI Research Engineer,Quantify Labs,Chennai,Senior,"Quantify Labs is hiring a AI Research Engineer (Senior level) based in Chennai. Required skills: Tableau, machine-learning, advanced SQL. Prior experience with analytics platforms is a plus.",2026-07-01
29,Data Scientist,BluePeak Consulting,HYDERABAD,Entry,"Join BluePeak Consulting as a Data Scientist! We need someone comfortable with Tableau, Amazon Web Services, proficiency in Python, MS Excel, Power BI dashboards, SQL queries to help us build data-driven products.",2026-02-22
3638,Analytics Consultant,Northstar Tech,London,Senior,"Northstar Tech is hiring a Analytics Consultant (Senior level) based in London. Required skills: advanced SQL, MS Excel, Deep Learning, machine-learning, proficiency in Python, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-06-19
146,Data Science Manager,Nimbus Data,Delhi NCR,Lead,"We are looking for a Data Science Manager to join our team in Delhi NCR. The ideal candidate has hands-on experience with Python, NLP, Large Language Models, SQL queries. You will work closely with cross-functional teams to deliver insights.",2026-04-03
3069,Data Analyst,DataForge,New York,Entry,"DataForge is hiring a Data Analyst (Entry level) based in New York. Required skills: Tableau dashboards, deep neural networks. Prior experience with analytics platforms is a plus.",2026-06-17
